Tempo,A,B,C,D,E,F,G,H
0,1,1,1,1,1,0,1,0
1,1,1,1,1,1,0,1,0
2,1,1,1,1,1,0,1,0
3,1,1,1,1,1,0,1,0
4,1,1,1,1,1,0,1,0
5,1,1,1,1,1,0,1,0
6,1,1,1,1,1,0,1,0
7,1,1,1,1,1,0,1,0
8,1,1,1,1,1,0,1,0
9,1,1,1,1,1,0,1,0
10,1,1,1,1,1,0,1,0
11,1,1,1,1,1,0,1,0
12,1,1,1,1,1,0,1,0
13,1,1,1,1,1,0,1,0
14,1,1,1,1,1,0,1,0
15,1,1,1,1,1,0,1,0
16,1,1,1,1,1,0,1,0
17,1,1,1,1,1,0,1,0
18,1,1,1,1,1,0,1,0
19,1,1,1,1,1,0,1,0
20,1,1,1,1,1,0,1,0
21,1,1,1,1,1,0,1,0
22,1,1,1,1,1,0,1,0
23,1,1,1,1,1,0,1,0
24,1,1,1,1,1,0,1,0
25,1,1,1,1,1,0,1,0
26,1,1,1,1,1,0,1,0
27,1,1,1,1,1,0,1,0
28,1,1,1,1,1,0,1,0
29,1,1,1,1,1,0,1,0
30,1,1,1,1,1,0,1,0
31,1,1,1,1,1,0,1,0
32,1,1,1,1,1,0,1,0
33,1,1,1,1,1,0,1,0
34,1,1,1,1,1,0,1,0
35,1,1,1,1,1,0,1,0
36,1,1,1,1,1,0,1,0
37,1,1,1,1,1,0,1,0
38,1,1,1,1,1,0,1,0
39,1,1,1,1,1,0,1,0
40,1,1,1,1,1,0,1,0
41,1,1,1,1,1,0,1,0
42,1,1,1,1,1,0,1,0
43,1,1,1,1,1,0,1,0
44,1,1,1,1,1,0,1,0
45,1,1,1,1,1,0,1,0
46,1,1,1,1,1,0,1,0
47,1,1,1,1,1,0,1,0
48,1,1,1,1,1,0,1,0
49,1,1,1,1,1,0,1,0
50,1,1,1,1,1,0,1,0
51,1,1,1,1,1,0,1,0
52,1,1,1,1,1,0,1,0
53,1,1,1,1,1,0,1,0
54,1,1,1,1,1,0,1,0
55,1,1,1,1,1,0,1,0
56,1,1,1,1,1,0,1,0
57,1,1,1,1,1,0,1,0
58,1,1,1,1,1,0,1,0
59,1,1,1,1,1,0,1,0
60,1,1,1,1,1,0,1,0
61,1,1,1,1,1,0,1,0
62,1,1,1,1,1,0,1,0
63,1,1,1,1,1,0,1,0
64,1,1,1,1,1,0,1,0
65,1,1,1,1,1,0,1,0
66,1,1,1,1,1,0,1,0
67,1,1,1,1,1,0,1,0
68,1,1,1,1,1,0,1,0
69,1,1,1,1,1,0,1,0
70,1,1,1,1,1,0,1,0
71,1,1,1,1,1,0,1,0
72,1,1,1,1,1,0,1,0
73,1,1,1,1,1,0,1,0
74,1,1,1,1,1,0,1,0
75,1,1,1,1,1,0,1,0
76,1,1,1,1,1,0,1,0
77,1,1,1,1,1,0,1,0
78,1,1,1,1,1,0,1,0
79,1,1,1,1,1,0,1,0
80,1,1,1,1,1,0,1,0
81,1,1,1,1,1,0,1,0
82,1,1,1,1,1,0,1,0
83,1,1,1,1,1,0,1,0
84,1,1,1,1,1,0,1,0
85,1,1,1,1,1,0,1,0
86,1,1,1,1,1,0,1,0
87,1,1,1,1,1,0,1,0
88,1,1,1,1,1,0,1,0
89,1,1,1,1,1,0,1,0
90,1,1,1,1,1,0,1,0
91,1,1,1,1,1,0,1,0
92,1,1,1,1,1,0,1,0
93,1,1,1,1,1,0,1,0
94,1,1,1,1,1,0,1,0
95,1,1,1,1,1,0,1,0
96,1,1,1,1,1,0,1,0
97,1,1,1,1,1,0,1,0
98,1,1,1,1,1,0,1,0
99,1,1,1,1,1,0,1,0
100,0,1,0,1,1,1,1,0
101,0,1,0,1,1,1,1,0
102,0,1,0,1,1,1,1,0
103,0,1,0,1,1,1,1,0
104,0,1,0,1,1,1,1,0
105,0,1,0,1,1,1,1,0
106,0,1,0,1,1,1,1,0
107,0,1,0,1,1,1,1,0
108,0,1,0,1,1,1,1,0
109,0,1,0,1,1,1,1,0
110,0,1,0,1,1,1,1,0
111,0,1,0,1,1,1,1,0
112,0,1,0,1,1,1,1,0
113,0,1,0,1,1,1,1,0
114,0,1,0,1,1,1,1,0
115,0,1,0,1,1,1,1,0
116,0,1,0,1,1,1,1,0
117,0,1,0,1,1,1,1,0
118,0,1,0,1,1,1,1,0
119,0,1,0,1,1,1,1,0
120,0,1,0,1,1,1,1,0
121,0,1,0,1,1,1,1,0
122,0,1,0,1,1,1,1,0
123,0,1,0,1,1,1,1,0
124,0,1,0,1,1,1,1,0
125,0,1,0,1,1,1,1,0
126,0,1,0,1,1,1,1,0
127,0,1,0,1,1,1,1,0
128,0,1,0,1,1,1,1,0
129,0,1,0,1,1,1,1,0
130,0,1,0,1,1,1,1,0
131,0,1,0,1,1,1,1,0
132,0,1,0,1,1,1,1,0
133,0,1,0,1,1,1,1,0
134,0,1,0,1,1,1,1,0
135,0,1,0,1,1,1,1,0
136,0,1,0,1,1,1,1,0
137,0,1,0,1,1,1,1,0
138,0,1,0,1,1,1,1,0
139,0,1,0,1,1,1,1,0
140,0,1,0,1,1,1,1,0
141,0,1,0,1,1,1,1,0
142,0,1,0,1,1,1,1,0
143,0,1,0,1,1,1,1,0
144,0,1,0,1,1,1,1,0
145,0,1,0,1,1,1,1,0
146,0,1,0,1,1,1,1,0
147,0,1,0,1,1,1,1,0
148,0,1,0,1,1,1,1,0
149,0,1,0,1,1,1,1,0
150,0,1,0,1,1,1,1,0
151,0,1,0,1,1,1,1,0
152,0,1,0,1,1,1,1,0
153,0,1,0,1,1,1,1,0
154,0,1,0,1,1,1,1,0
155,0,1,0,1,1,1,1,0
156,0,1,0,1,1,1,1,0
157,0,1,0,1,1,1,1,0
158,0,1,0,1,1,1,1,0
159,0,1,0,1,1,1,1,0
160,0,1,0,1,1,1,1,0
161,0,1,0,1,1,1,1,0
162,0,1,0,1,1,1,1,0
163,0,1,0,1,1,1,1,0
164,0,1,0,1,1,1,1,0
165,0,1,0,1,1,1,1,0
166,0,1,0,1,1,1,1,0
167,0,1,0,1,1,1,1,0
168,0,1,0,1,1,1,1,0
169,0,1,0,1,1,1,1,0
170,0,1,0,1,1,1,1,0
171,0,1,0,1,1,1,1,0
172,0,1,0,1,1,1,1,0
173,0,1,0,1,1,1,1,0
174,0,1,0,1,1,1,1,0
175,0,1,0,1,1,1,1,0
176,0,1,0,1,1,1,1,0
177,0,1,0,1,1,1,1,0
178,0,1,0,1,1,1,1,0
179,0,1,0,1,1,1,1,0
180,0,1,0,1,1,1,1,0
